PANID,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
1100016,7.73875,8,5,1,0,7,4.6659708272
1100032,7.7533333333,3,40,0,0.3333333333,4,3.0903972257
1100156,8.49,2,13,0,0,7,6.2148215739
1100164,7.505,6,8,0.5,0,7,1.7363179903
1100180,7.8246153846,13,8,0,0.1538461538,7,8.2276924093
1100206,6.0177777778,9,3,0,0,7,6.4843148642
1100214,7.79,4,1,0,0.25,7,7.3027008221
1100255,3.83,5,17,1,0,7,9.2820092384
1100321,14.99,2,38,1,0,4,10.057369178
1100347,3.614,5,2,0,0,7,6.571635119
1100354,4.93,5,9,0,0,7,1.5749313619
1100362,4.0453846154,13,0,0,1,6,8.0310352676
1100404,4.4525,8,2,0.5,0.25,7,6.9993891971
1100412,9.8325,4,12,0.3333333333,0,7,5.474522855
1100479,4.89,6,5,0,0.4,7,3.4890480629
1100503,5.24,4,12,0,0.5,7,4.185958926
1100545,4.546,25,5,0.1363636364,0,6,5.9344965469
1100560,7.9672222222,18,5,0.5,0.5,6,4.2352260968
1100628,4.2627272727,11,4,0,0,7,7.5336087368
1100685,7.3555555556,9,0,0.2222222222,0.1111111111,7,9.0940142814
1100750,6.805,4,12,0,0,7,4.1167996897
1100784,5.365,4,4,0.5,0,7,4.2482007058
1100800,6.2125,4,1,1,0,7,7.1599917911
1100818,3.35,6,15,0,1,7,7.6241368375
1100842,5.6625,12,3,0,0,6,8.4923705866
1101055,5.965,8,1,0.125,0.25,7,7.6895561107
1101089,6.7775,16,2,0,0,6,4.3865803659
1101147,5.299,10,5,0,0.4,7,5.9784220571
1101162,5.09,1,2,0,0,7,7.3072850208
1101238,5.9166666667,9,9,0.1666666667,0,7,4.1738073302
1101253,8.24,2,12,1,0,7,5.4046635993
1101279,6.1566666667,3,5,0,0.5,7,3.6450624963
1101386,2.5957142857,7,10,0.1428571429,0.2857142857,7,4.5585951001
1101469,11.98,1,12,0,0,7,8.0645250887
1101477,9.528,5,0,1,0,7,8.7634279387
1101519,6.1890909091,11,4,0,0.4,7,7.294479864
1101626,7.5081818182,11,0,0.9090909091,0,6,9.6316267706
1101642,5.81,19,0,0,0.2105263158,6,2.407887059
1101709,21.92,7,24,0.4285714286,0,5,14.289734964
1101758,4.99,6,9,0,0.6666666667,7,1.9326156487
1101766,10.65,3,27,0,0,5,2.4244954814
1102012,9.5566666667,3,19,0,0,5,9.8995904143
1102046,4.308,5,8,0,0,7,1.8723466415
1102202,9.584,5,27,0,0,5,3.4502793913
1102236,5.84,8,4,0,1,7,5.165374491
1102277,4.99,3,4,0,0,7,4.6512867009
1102285,5.3028571429,7,3,0,0,7,5.5267104191
1102293,7.09,3,8,0,0,7,2.1679688222
1102368,4.2233333333,6,3,0,0,7,5.5188216959
1102384,6.59,2,9,1,0,7,3.2236926659
1102491,6.4252941176,17,0,0.2941176471,0,6,3.8476061091
1102525,7.9883333333,6,8,0.1666666667,0,7,2.1123279429
1102624,7.49,2,8,0,0,7,3.238932518
1102640,5.89,7,1,0,0.5,7,7.3633891204
1103069,7.34,2,34,0.5,0,5,5.5489716661
1103101,4.46125,8,3,0,0.25,7,6.1494747316
1103127,10.185,4,17,0,0.25,7,9.8586710811
1103135,3.8471428571,7,4,0,0,7,5.1054204362
1103234,3.8185714286,7,5,1,0,7,4.4359609606
1103325,6.49,1,0,0,0,7,8.9754426699
1103440,5.6125,4,3,0,0,7,5.1745111341
1103614,6.49,2,16,0,0,7,8.4856394491
1103747,4.9376190476,21,7,0.1904761905,0.1428571429,6,5.4204937476
1103804,4.39,1,6,0,0,7,4.7930680481
1103895,5.8775,8,6,0.125,0.875,7,3.7694508713
1103911,6.74,4,12,0,0,7,4.1071725769
1103986,12.8125,12,0,1,0,8,10.022907241
1104018,6.99,2,50,0,0,4,8.4733941118
1104042,8.14,4,23,0,0,5,6.2860779718
1104075,4.885,4,12,0,0,7,4.2627441708
1104133,5.5233333333,3,6,0,1,7,3.0373062691
1104182,5.99,4,15,0,0.25,7,7.0184560028
1104208,9.0125,4,8,0,0,7,3.0115118445
1104224,12.148,5,8,1,0,7,6.0382626109
1104257,5.7625,4,2,0.5,0,7,6.1464068194
1104281,8.38,1,27,0,0,5,2.4101221421
1104315,7.71,9,9,0.1428571429,0.2857142857,7,4.4462112277
1104372,7.69,1,34,1,0,5,5.5809469854
1104406,5.055,6,4,0,0,7,4.3379734143
1104414,5.9493333333,15,1,0.0666666667,0,6,5.4662591286
1104612,4.558,5,2,0,0.25,7,6.2664257696
1104687,7.47,5,17,0,0,7,9.0462362942
1104703,5.3166666667,21,5,0,0.3076923077,6,3.4337296389
1104869,9.444,5,0,0.2,0.2,7,8.6951773615
1104919,7.49,2,12,0,0,7,5.106359199
1104935,5.99,2,50,0,0,4,8.376599544
1104968,14.088,10,3,1,0,8,7.0172593044
1105080,5.1566666667,3,1,0,0.3333333333,7,7.3902641618
1105122,7.985,2,15,0,0,7,7.7666822551
1105171,6.6525,8,4,0,0,7,5.1038893662
1105213,7.51,13,7,0,0.0769230769,7,8.2372850657
1105239,7.668,5,32,0.25,0,5,4.6099251022
1105254,5.5566666667,3,9,0,0.3333333333,7,2.2669357447
1105379,8.49,2,22,0,0,5,6.9216612399
1105395,10.083333333,3,1,0,0.3333333333,8,8.0052646612
1105452,3.8233333333,3,24,0.5,0.5,5,7.4621987963
1105569,3.8885714286,7,10,0,0,7,3.6402527417
1105726,6.89,3,12,0.3333333333,0.3333333333,7,4.4675451393
1105759,8.7133333333,3,19,0,0.5,5,9.9312788061
1105775,9.9833333333,3,9,0,0.3333333333,7,4.4002374214
