PANID,PANTYPE,PreTaxInc,FamSize,HH_Race,Type_Res_Poss,Male_Age,Male_Edu,Male_Occ,Male_Whc,Female_Age,Female_Edu,Female_Occ,Female_Whc,Dogs,Cats,Child_GC,Marital,TV_used,TV_hooked,Year,monetary,frequency,recency,loyality_All,loyality,CLUSTER,DISTANCE
1100362,0,4,1,1,1,7,9,11,5,6,6,10,4,0,0,8,4,,,1,3.35,2,6,1,1.7634633325,1,1.4766628668
1100503,6,6,2,1,2,6,6,10,4,6,4,10,4,0,0,8,2,5,5,1,7.49,2,12,0.5,0.1794738262,1,1.6758799918
1100818,0,5,2,1,1,6,5,10,4,6,5,10,4,0,0,8,2,,,1,3.35,6,15,1,1.7634633325,1,1.7593479074
1101147,0,5,4,1,2,7,9,11,5,6,3,10,4,0,0,8,4,,,1,5.8925,4,5,0.4,-0.137324075,1,1.367595979
1101279,6,7,2,1,2,6,5,10,4,6,4,10,4,0,0,8,2,3,3,1,5.49,1,5,0.5,0.1794738262,1,1.2410168456
1101519,6,7,3,1,2,5,4,10,4,5,4,3,3,0,0,2,2,5,5,1,5.84,4,4,0.4,-0.137324075,1,1.386957276
1101758,0,7,2,1,2,5,6,10,4,5,6,10,4,0,1,8,2,,,1,5.24,4,12,0.6666666667,0.7074703283,1,0.461517987
1102640,0,6,4,1,2,5,4,6,3,5,4,8,2,0,0,8,2,,,1,5.1566666667,3,1,0.5,0.1794738262,1,1.1443133257
1103895,0,6,2,1,2,6,5,10,4,6,4,10,4,0,0,8,2,,,1,5.6185714286,7,6,0.875,1.3674659559,1,1.6392873747
1104133,0,2,1,1,2,7,9,11,5,6,4,10,4,0,0,8,3,,,1,5.5233333333,3,6,1,1.7634633325,1,0.9448336881
1108084,6,4,1,1,2,7,9,11,5,6,6,10,4,0,0,8,4,1,1,1,5.79,2,4,0.5,0.1794738262,1,1.1417992035
1108514,5,7,3,1,2,6,4,10,4,6,8,10,4,1,0,8,2,4,4,1,5.51,5,5,0.3125,-0.414522239,1,1.6807638534
1108670,0,5,2,1,2,6,4,10,4,6,4,10,4,0,0,8,2,,,1,3.39,1,16,1,1.7634633325,1,1.5464701774
1108985,0,11,2,4,2,6,7,10,4,6,5,10,4,0,0,8,2,,,1,3.39,1,3,1,1.7634633325,1,1.6728324821
1109488,0,10,2,1,2,6,7,10,4,6,7,10,4,0,1,8,2,,,1,5.4233333333,3,4,0.3333333333,-0.348522676,1,1.4674294768
1109603,0,11,2,1,2,6,7,10,4,6,4,4,3,0,0,8,2,,,1,3.39,3,11,1,1.7634633325,1,1.3327360713
1110908,0,6,2,1,1,6,4,10,4,5,4,1,3,0,0,8,5,,,1,5.4566666667,3,10,0.6,0.4962717274,1,0.5473742695
1110965,6,5,1,1,2,7,9,11,5,6,6,10,4,0,0,8,4,1,1,1,5.29,1,29,1,1.7634633325,1,1.5929594641
1111583,0,8,2,1,2,6,2,10,4,6,2,10,4,0,0,8,2,,,1,4.49,2,22,1,1.7634633325,1,1.1679384185
1112003,0,2,1,1,1,7,9,11,5,6,4,10,4,0,0,8,4,,,1,5.79,1,1,1,1.7634633325,1,1.4216719839
1113225,0,6,2,1,2,6,4,2,2,6,4,10,4,0,0,8,2,,,1,5.29,1,19,1,1.7634633325,1,1.1844008389
1113423,0,12,2,1,2,5,8,1,3,5,8,10,4,0,0,8,2,,,1,5.69,4,5,0.3333333333,-0.348522676,1,1.5128388015
1113902,0,6,2,1,2,6,4,10,4,6,5,10,4,0,0,8,2,,,1,5.5233333333,3,6,0.6,0.4962717274,1,0.7082026628
1114272,0,6,2,1,2,6,4,10,4,6,4,10,4,0,0,8,2,,,1,3.35,2,9,0.6666666667,0.7074703283,1,1.2156330847
1115295,0,5,2,1,2,5,4,9,3,5,4,13,1,0,0,8,2,,,1,5.9733333333,6,6,0.6666666667,0.7074703283,1,1.3399308474
1116400,0,2,1,1,2,7,9,11,5,6,5,4,2,1,0,8,4,,,1,2.99,1,26,1,1.7634633325,1,1.9508011544
1116566,0,4,1,1,1,7,9,11,5,5,4,6,3,0,0,8,3,,,1,4.99,3,4,0.5,0.1794738262,1,1.0075192919
1116590,0,4,1,1,2,7,9,11,5,6,3,3,2,0,0,8,4,,,1,3.35,4,20,1,1.7634633325,1,1.4907028875
1116657,6,7,1,1,2,7,9,11,5,6,5,1,2,0,0,8,3,2,2,1,4.42,2,6,0.5,0.1794738262,1,1.092991712
1116699,0,9,3,1,2,6,5,10,4,6,5,10,4,0,0,8,2,,,1,5.15,5,6,0.3125,-0.414522239,1,1.6447685184
1118356,0,7,5,1,2,7,9,11,5,4,5,8,3,0,1,2,3,,,1,5.1566666667,6,14,0.375,-0.21652355,1,1.6377774513
1119552,0,4,2,1,2,6,8,10,4,6,7,10,4,0,1,8,2,,,1,3.89,4,4,0.5714285714,0.4057580414,1,1.1905859842
1119560,6,6,1,1,2,7,9,11,5,5,6,1,3,0,0,8,3,2,2,1,5.87,5,4,0.625,0.5754712028,1,1.1306005864
1119610,0,5,2,1,2,6,4,10,4,6,6,10,4,0,0,8,2,,,1,3.99,4,6,0.6666666667,0.7074703283,1,0.9607283408
1119958,0,3,1,1,2,7,9,11,5,5,4,1,3,0,0,8,4,,,1,5.59,3,6,0.4285714286,-0.046810389,1,1.1563671586
1120147,0,7,1,1,2,7,9,11,5,5,7,1,3,0,0,8,4,,,1,5.71,5,4,0.7142857143,0.8583264717,1,1.0276198546
1120873,0,5,3,1,2,6,4,10,4,6,4,10,4,0,0,8,2,,,1,5.84,4,12,1,1.7634633325,1,0.9674281147
1121111,0,8,2,1,2,6,4,10,4,5,6,1,2,0,1,8,2,,,1,5.8233333333,6,12,0.6,0.4962717274,1,1.2854298982
1122119,0,8,1,1,2,7,9,11,5,5,4,1,3,0,4,8,3,,,1,5.79,1,2,1,1.7634633325,1,1.3820236759
1122176,0,5,2,1,2,6,4,10,4,5,5,13,1,1,0,8,2,,,1,4.59,2,26,1,1.7634633325,1,1.3315549712
1122424,0,8,2,1,2,6,8,10,4,6,6,10,4,0,0,8,2,,,1,3.39,2,10,0.5,0.1794738262,1,1.3984827258
1122572,0,6,1,1,2,7,9,11,5,5,6,2,2,0,0,8,4,,,1,5.0271428571,7,8,0.7777777778,1.0594679964,1,1.5335162454
1122804,6,9,4,1,2,6,8,10,4,6,7,10,4,0,2,8,2,2,2,1,5.24,4,14,0.6666666667,0.7074703283,1,0.4693616558
1123430,0,6,2,1,2,6,7,10,4,5,4,10,4,0,0,8,2,,,1,5.77,5,4,0.7142857143,0.8583264717,1,1.04031974
1123489,0,5,4,1,2,5,7,1,3,5,5,8,3,1,0,8,2,,,1,5.79,1,26,1,1.7634633325,1,1.4957327198
1123760,6,11,2,1,2,5,7,10,4,5,6,1,2,0,0,8,2,2,2,1,5.8566666667,3,12,0.5,0.1794738262,1,0.9063362999
1126268,0,10,3,1,2,7,9,11,5,6,6,10,4,0,1,2,4,,,1,5.115,4,5,0.5714285714,0.4057580414,1,0.867161989
1126482,0,11,2,1,2,4,6,6,3,4,5,1,3,2,0,8,2,,,1,5.89,2,12,0.6666666667,0.7074703283,1,0.6502925581
1126599,0,6,2,1,2,7,9,11,5,4,5,1,2,1,0,3,4,,,1,5.99,1,47,1,1.7634633325,1,2.7111906102
1126698,0,7,2,1,2,4,4,6,3,4,4,6,2,2,1,8,2,,,1,5.765,4,4,0.4444444444,0.0034749921,1,1.2624599938
1127035,0,7,1,1,2,7,9,11,5,5,5,1,3,0,0,8,3,,,1,5.79,2,38,1,1.7634633325,1,2.0323735999
1127357,0,9,1,1,1,6,3,10,4,7,9,11,5,0,0,8,1,,,1,5.99,1,47,1,1.7634633325,1,2.7111906102
1127696,0,2,1,1,1,7,9,11,5,6,3,13,1,0,1,8,5,,,1,5.39,2,2,1,1.7634633325,1,1.1629652347
1127811,0,12,3,1,2,3,5,2,3,3,5,1,3,0,0,3,2,,,1,5.9233333333,3,23,1,1.7634633325,1,1.1745272129
1127886,0,10,4,1,2,3,3,6,3,2,5,1,2,2,0,3,2,,,1,5.29,1,45,1,1.7634633325,1,2.5356799028
1127985,0,6,5,1,2,5,4,1,3,4,3,8,2,1,0,3,2,,,1,5.515,4,5,0.3076923077,-0.429752907,1,1.5657496055
1128181,6,5,3,1,2,7,9,11,5,3,5,3,2,0,0,6,3,5,5,1,5.64,2,5,1,1.7634633325,1,1.0708665278
1128439,0,8,3,1,1,5,7,13,1,5,8,1,3,0,0,8,2,,,1,3.39,1,20,1,1.7634633325,1,1.6142636165
1128496,0,8,2,1,1,1,4,2,3,1,6,3,3,1,0,8,2,,,1,5.79,1,3,1,1.7634633325,1,1.3449205744
1128637,0,8,2,1,2,5,4,10,4,5,6,1,2,0,0,8,2,,,1,5.71,5,6,0.7142857143,0.8583264717,1,0.9505603003
1129627,0,5,2,1,1,7,9,11,5,5,6,10,4,0,1,8,4,,,1,7.52,3,19,1,1.7634633325,1,1.7037761586
1129734,0,5,2,1,1,3,4,7,2,7,9,11,5,1,1,8,1,,,1,5.29,1,13,1,1.7634633325,1,1.0959900641
1129882,0,7,4,1,2,3,4,6,3,3,4,13,1,0,0,4,2,,,1,7.208,5,5,0.2941176471,-0.472757147,1,2.1237664054
1130104,0,9,4,1,2,3,6,3,3,3,5,1,3,0,0,3,2,,,1,5.3566666667,6,5,0.75,0.9714685793,1,1.2486267577
1130179,0,6,2,1,1,3,4,13,1,3,6,8,3,0,0,8,1,,,1,4.2566666667,6,4,1,1.7634633325,1,1.5932639558
1130195,0,8,5,1,1,3,6,7,3,3,4,7,2,1,0,2,2,,,1,4.53,5,19,0.5555555556,0.3554726602,1,1.1318691219
1130260,0,5,2,1,2,7,9,11,5,6,6,10,4,0,0,8,4,,,1,4.74,2,23,0.6666666667,0.7074703283,1,0.9028434154
1130419,0,6,2,1,1,5,3,13,1,5,4,8,3,0,0,8,2,,,1,6.925,2,6,0.4,-0.137324075,1,1.6645868122
1130815,0,1,2,1,2,6,3,10,4,7,9,11,5,0,1,8,4,,,1,4.8233333333,3,12,0.4285714286,-0.046810389,1,1.0421777182
1130930,0,7,2,1,1,4,4,3,3,5,4,1,2,0,0,8,2,,,1,4.87,5,16,0.4166666667,-0.084524425,1,1.3274387399
1131128,0,10,4,1,2,2,8,1,3,2,8,1,2,0,0,1,2,,,1,3.99,3,17,0.5,0.1794738262,1,1.1064878904
1131185,0,10,1,1,2,7,9,11,5,6,7,0,3,0,0,8,2,,,1,5.79,1,3,1,1.7634633325,1,1.3449205744
1131565,0,7,3,1,2,5,4,7,3,5,4,7,3,0,2,8,2,,,1,5.215,4,5,0.4,-0.137324075,1,1.2911389485
1131755,0,9,2,1,2,3,4,7,3,3,6,2,3,1,0,8,2,,,1,5.49,1,11,0.5,0.1794738262,1,1.1236175327
1132233,0,7,3,1,1,5,4,1,3,3,4,3,2,0,1,8,2,,,1,5.99,1,47,1,1.7634633325,1,2.7111906102
1132399,0,11,4,1,2,3,4,1,2,4,4,13,1,1,0,3,2,,,1,4.0633333333,3,5,0.4285714286,-0.046810389,1,1.3307202104
1132407,0,6,1,1,2,7,9,11,5,6,7,10,4,0,0,8,4,,,1,3.365,4,3,1,1.7634633325,1,1.54753571
1132472,0,8,5,1,2,4,6,2,3,3,6,1,2,0,0,6,2,,,1,5.49,1,6,0.5,0.1794738262,1,1.2119801238
1132522,0,6,4,1,1,4,5,7,3,3,6,3,2,0,1,6,2,,,1,5.79,1,46,1,1.7634633325,1,2.6273053253
1132530,0,8,1,1,2,5,4,2,3,7,9,11,5,1,0,8,3,,,1,5.29,5,19,1,1.7634633325,1,1.1763961655
