PANID,PANTYPE,PreTaxInc,FamSize,HH_Race,Type_Res_Poss,Male_Age,Male_Edu,Male_Occ,Male_Whc,Female_Age,Female_Edu,Female_Occ,Female_Whc,Dogs,Cats,Child_GC,Marital,TV_used,TV_hooked,Year,monetary,frequency,recency,loyality_tide,loyality_All,CLUSTER,DISTANCE
1150185,0,5,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,,,1,53.96,1,13,1,0,1,7.4253683995
1244715,0,12,4,1,2,4,8,1,3,4,7,1,3,0,1,3,2,,,1,37.475,2,15,1,0,1,9.4223712444
1305367,0,7,2,2,2,7,9,11,5,6,4,4,3,0,0,8,4,,,1,41.98,1,13,0,0,1,5.1976444538
1408781,0,4,2,1,2,7,9,11,5,6,2,10,4,1,0,8,4,,,1,32.94,2,8,0,0,1,15.125068062
1815506,0,9,3,1,2,6,8,13,1,6,7,13,1,0,2,8,2,,,1,43.706,5,2,0,0.6666666667,1,12.641455064
3138040,6,9,4,1,2,3,7,1,3,3,6,1,2,0,1,2,2,2,1,1,39.98,1,2,1,0,1,13.910942019
3330217,6,6,2,1,2,6,4,10,4,6,4,10,4,0,0,8,2,1,1,1,33.98,1,22,0,0,1,15.205614354
1219816,0,2,4,1,2,5,3,13,1,4,3,13,1,2,0,3,2,,,1,119.7,1,43,0,0,2,0
1202150,0,11,3,1,2,5,8,10,4,4,8,2,3,1,0,2,2,,,1,89.85,1,29,0,0,3,0
1212043,0,8,1,1,2,7,9,11,5,4,6,4,3,1,0,8,3,,,1,89.85,1,29,0,0,3,0
1100032,0,5,2,1,2,7,9,11,5,5,7,6,3,0,2,3,1,,,1,7.7533333333,3,40,0,0.3333333333,4,3.0903972257
1100321,0,3,1,1,2,7,9,11,5,6,3,10,4,0,0,8,4,,,1,14.99,2,38,1,0,4,10.057369178
1104018,0,6,4,1,2,5,4,6,3,5,4,4,3,0,0,8,2,,,1,6.99,2,50,0,0,4,8.4733941118
1104935,0,6,1,1,2,7,9,11,5,6,5,10,4,1,0,8,4,,,1,5.99,2,50,0,0,4,8.376599544
1105999,0,6,1,1,2,7,9,11,5,6,6,13,1,0,0,8,4,,,1,6.99,1,50,0,0,4,8.4663314929
1106575,6,8,2,1,2,7,9,11,5,5,7,1,3,1,0,8,3,4,4,1,5.74,2,38,0,0,4,3.6979564303
1108795,0,6,2,1,2,6,6,10,4,6,4,10,4,0,2,8,2,,,1,5.69,1,42,0,0,4,0.5918535351
1110759,0,12,2,1,2,5,6,2,3,5,6,2,3,0,0,8,2,,,1,10.99,2,48,1,0,4,8.3441276377
1111245,0,2,2,1,2,5,4,3,2,5,4,13,1,0,2,8,2,,,1,21.18,1,48,0,0,4,16.762131071
1112219,0,4,1,1,2,7,9,11,5,6,3,10,4,0,0,8,4,,,1,8.49,1,51,0,0,4,9.7762480019
1112706,0,6,2,1,2,6,4,2,3,5,4,1,2,0,0,8,2,,,1,6.99,1,36,1,0,4,5.8807809514
1113845,0,10,2,1,2,6,7,10,4,6,4,13,1,0,0,8,2,,,1,6.99,1,45,0,0,4,3.6304128712
1116921,0,6,2,1,2,7,9,11,5,6,6,4,3,0,0,8,3,,,1,2.99,1,36,0,0,4,6.2735936914
1117408,6,5,2,1,1,6,6,10,4,6,4,10,4,1,0,8,2,1,1,1,4.69,3,39,0,0,4,3.2340775512
1117572,6,9,2,1,2,5,7,1,3,5,7,3,6,0,0,8,2,3,3,1,2.99,1,51,0,0,4,9.739332205
1118042,0,9,2,1,2,5,8,10,4,5,5,13,1,0,0,8,2,,,1,8.49,1,51,0,0,4,9.7762480019
1118141,0,10,2,1,2,6,4,10,4,6,5,1,3,0,0,8,2,,,1,12.323333333,3,38,0.6666666667,0,4,7.7616160107
1118968,6,11,2,1,2,6,7,10,4,6,6,10,4,0,0,8,2,2,2,1,8.49,1,51,0,0,4,9.7762480019
1119693,0,12,1,1,2,7,9,11,5,6,8,13,1,0,0,8,4,,,1,2.99,1,35,1,0,4,7.2360112575
1119933,6,1,1,1,1,7,9,11,5,6,2,10,4,0,0,8,3,2,2,1,2.99,1,37,0,0,4,5.3905242854
1124032,0,4,1,1,2,7,9,11,5,6,8,10,4,0,0,8,4,,,1,5.985,2,43,0,0,4,1.5052807433
1126599,0,6,2,1,2,7,9,11,5,4,5,1,2,1,0,3,4,,,1,5.99,1,47,0,1,4,5.4527866888
1126797,0,8,5,1,1,3,6,2,2,2,4,7,3,0,0,7,2,,,1,11.97,1,43,0,0,4,6.4562426064
